account_id,account_name,industry,plan_tier,seats,churn_flag
A-2e4581,Company_0,Edtech,Basic,9,False
A-43a9e3,Company_1,Fintech,Basic,18,True
A-0a282f,Company_2,Devtools,Basic,1,False
A-1f0ac7,Company_3,Healthtech,Basic,24,False
A-ce550d,Company_4,Healthtech,Enterprise,35,True
A-1b9609,Company_5,Edtech,Enterprise,4,False
A-a0ca4e,Company_6,Cybersecurity,Pro,11,False
A-e5d6ab,Company_7,Edtech,Pro,3,False
A-7dacce,Company_8,Cybersecurity,Enterprise,12,True
A-10b8da,Company_9,Devtools,Enterprise,14,True
A-592832,Company_10,Cybersecurity,Basic,18,True
A-d40bf7,Company_11,Fintech,Basic,59,False
A-6c093d,Company_12,Devtools,Basic,7,False
A-462d45,Company_13,Cybersecurity,Enterprise,11,False
A-956988,Company_14,Edtech,Enterprise,1,False
A-ac14bb,Company_15,Fintech,Enterprise,21,False
A-463db0,Company_16,Healthtech,Basic,15,False
A-ce66f8,Company_17,Edtech,Pro,29,False
A-c4ea60,Company_18,Fintech,Enterprise,18,True
A-832ec2,Company_19,Fintech,Enterprise,4,False
A-684255,Company_20,Fintech,Enterprise,9,False
A-c42f1f,Company_21,Healthtech,Pro,8,False
A-4e44e8,Company_22,Devtools,Enterprise,3,True
A-30b4ca,Company_23,Edtech,Basic,86,True
A-9f2731,Company_24,Fintech,Enterprise,1,False
A-32fb14,Company_25,Devtools,Enterprise,26,True
A-00cac8,Company_26,Healthtech,Enterprise,8,False
A-35083d,Company_27,Healthtech,Basic,19,True
A-eb7fac,Company_28,Devtools,Enterprise,7,False
A-b20d99,Company_29,Healthtech,Basic,20,False
A-396e5f,Company_30,Cybersecurity,Enterprise,2,False
A-45ce7a,Company_31,Fintech,Enterprise,16,False
A-08e34e,Company_32,Edtech,Basic,14,True
A-8145a0,Company_33,Cybersecurity,Basic,2,False
A-bad8c1,Company_34,Fintech,Basic,7,False
A-44dc83,Company_35,Edtech,Basic,5,False
A-f446b6,Company_36,Devtools,Pro,5,False
A-a45270,Company_37,Healthtech,Enterprise,3,False
A-854864,Company_38,Fintech,Enterprise,20,False
A-1b7577,Company_39,Cybersecurity,Pro,4,False
A-05f0e5,Company_40,Fintech,Basic,32,False
A-9077b0,Company_41,Healthtech,Basic,2,False
A-7f8241,Company_42,Edtech,Pro,34,True
A-2bc93d,Company_43,Healthtech,Basic,14,False
A-f3ff05,Company_44,Fintech,Enterprise,2,False
A-2d4502,Company_45,Fintech,Basic,7,False
A-6a4e2d,Company_46,Edtech,Pro,9,False
A-eb7c38,Company_47,Devtools,Enterprise,5,False
A-c37601,Company_48,Edtech,Basic,6,False
A-3b5cd1,Company_49,Fintech,Basic,13,False
A-b2225d,Company_50,Fintech,Basic,47,True
A-94f8c9,Company_51,Healthtech,Basic,13,False
A-02fac6,Company_52,Fintech,Pro,22,False
A-c1dfe1,Company_53,Devtools,Pro,26,False
A-32728c,Company_54,Devtools,Pro,20,True
A-4c38bc,Company_55,Healthtech,Basic,36,True
A-1b707d,Company_56,Cybersecurity,Enterprise,1,False
A-6f8ad2,Company_57,Edtech,Basic,1,False
A-4d1e75,Company_58,Devtools,Basic,20,False
A-9ee962,Company_59,Healthtech,Basic,9,True
A-378b99,Company_60,Edtech,Pro,8,False
A-94d3da,Company_61,Healthtech,Basic,41,False
A-e351e1,Company_62,Edtech,Enterprise,33,False
A-9badbd,Company_63,Cybersecurity,Enterprise,5,False
A-7e0a10,Company_64,Fintech,Enterprise,46,False
A-118d55,Company_65,Cybersecurity,Basic,8,False
A-526d93,Company_66,Healthtech,Basic,43,False
A-f92792,Company_67,Fintech,Pro,1,False
A-84ebe4,Company_68,Fintech,Pro,18,True
A-5b4ebb,Company_69,Cybersecurity,Basic,21,True
A-2922b6,Company_70,Healthtech,Basic,15,False
A-9b9fe9,Company_71,Edtech,Basic,5,False
A-a8b49c,Company_72,Cybersecurity,Basic,7,False
A-9174e0,Company_73,Cybersecurity,Basic,37,False
A-a1bbb6,Company_74,Devtools,Basic,1,False
A-c45b23,Company_75,Fintech,Basic,5,False
A-02cd81,Company_76,Healthtech,Basic,44,False
A-ee42db,Company_77,Edtech,Enterprise,13,False
A-432483,Company_78,Cybersecurity,Pro,4,False
A-9208f0,Company_79,Edtech,Pro,1,True
A-98a59a,Company_80,Fintech,Enterprise,56,False
A-fe79a5,Company_81,Healthtech,Basic,9,False
A-726cfa,Company_82,Devtools,Pro,11,False
A-c43359,Company_83,Fintech,Pro,38,False
A-271f46,Company_84,Devtools,Pro,38,True
A-157070,Company_85,Fintech,Pro,16,False
A-40a557,Company_86,Cybersecurity,Pro,16,False
A-66224b,Company_87,Healthtech,Pro,92,False
A-91e948,Company_88,Edtech,Basic,41,False
A-104f1a,Company_89,Cybersecurity,Pro,24,False
A-7988d1,Company_90,Cybersecurity,Basic,33,False
A-faa28c,Company_91,Healthtech,Enterprise,48,False
A-f25509,Company_92,Edtech,Enterprise,32,False
A-3a7284,Company_93,Fintech,Enterprise,31,False
A-3a5ad8,Company_94,Healthtech,Enterprise,9,False
A-65a46c,Company_95,Healthtech,Pro,1,False
A-8b25f2,Company_96,Cybersecurity,Pro,6,True
A-fabe19,Company_97,Devtools,Enterprise,1,False
A-adc1f3,Company_98,Cybersecurity,Pro,2,False
A-503d5a,Company_99,Fintech,Enterprise,4,True
A-fd7ad3,Company_100,Cybersecurity,Enterprise,1,False
A-186a44,Company_101,Healthtech,Enterprise,20,False
A-e888d1,Company_102,Cybersecurity,Pro,14,False
A-69fad4,Company_103,Fintech,Basic,6,True
A-9289f6,Company_104,Edtech,Enterprise,1,False
A-f19409,Company_105,Devtools,Basic,23,True
A-22f2df,Company_106,Devtools,Basic,3,False
A-039727,Company_107,Edtech,Pro,25,False
A-2e3bad,Company_108,Fintech,Pro,61,False
A-484819,Company_109,Healthtech,Pro,18,False
A-425e76,Company_110,Devtools,Enterprise,8,True
A-e83938,Company_111,Devtools,Pro,2,True
A-ad296b,Company_112,Devtools,Pro,38,False
A-e51ec7,Company_113,Fintech,Enterprise,2,False
A-0aaf6e,Company_114,Fintech,Enterprise,3,False
A-e61e98,Company_115,Fintech,Enterprise,19,True
A-92a333,Company_116,Fintech,Enterprise,9,False
A-95b24a,Company_117,Fintech,Pro,38,True
A-42e5e1,Company_118,Devtools,Pro,1,True
A-7d514c,Company_119,Healthtech,Enterprise,17,False
A-65aeb5,Company_120,Devtools,Pro,9,False
A-e2cd1b,Company_121,Devtools,Enterprise,15,False
A-180abf,Company_122,Devtools,Pro,64,True
A-f17767,Company_123,Devtools,Enterprise,1,True
A-5a184f,Company_124,Devtools,Enterprise,1,True
A-7df7a7,Company_125,Devtools,Basic,7,True
A-1ac5e0,Company_126,Devtools,Basic,33,True
A-52dd88,Company_127,Cybersecurity,Pro,23,False
A-bece89,Company_128,Cybersecurity,Pro,26,False
A-029f69,Company_129,Cybersecurity,Basic,3,False
A-5c046d,Company_130,Edtech,Basic,93,False
A-fb186e,Company_131,Edtech,Basic,29,False
A-ae052e,Company_132,Fintech,Basic,39,False
A-9f9299,Company_133,Fintech,Enterprise,28,False
A-96e141,Company_134,Devtools,Basic,14,False
A-117171,Company_135,Healthtech,Basic,45,True
A-313be3,Company_136,Edtech,Enterprise,47,False
A-671f31,Company_137,Devtools,Basic,59,False
A-bbc346,Company_138,Fintech,Enterprise,19,False
A-c16101,Company_139,Edtech,Basic,7,False
A-50f3f7,Company_140,Healthtech,Basic,31,True
A-7da956,Company_141,Cybersecurity,Pro,13,False
A-019782,Company_142,Devtools,Enterprise,11,False
A-df10db,Company_143,Devtools,Enterprise,2,False
A-3932db,Company_144,Healthtech,Pro,19,True
A-4f18f0,Company_145,Devtools,Pro,24,False
A-4c6f11,Company_146,Fintech,Pro,24,True
A-8ae05d,Company_147,Fintech,Enterprise,86,False
A-b78bf8,Company_148,Devtools,Pro,33,False
A-eafc6e,Company_149,Devtools,Pro,27,True
A-37f969,Company_150,Healthtech,Enterprise,30,False
A-10b8f2,Company_151,Healthtech,Basic,47,False
A-439b2f,Company_152,Devtools,Enterprise,1,True
A-544d0a,Company_153,Devtools,Basic,2,False
A-ba6516,Company_154,Fintech,Pro,27,False
A-712426,Company_155,Healthtech,Enterprise,9,False
A-038089,Company_156,Devtools,Pro,5,True
A-afa505,Company_157,Devtools,Basic,70,False
A-d5a319,Company_158,Fintech,Enterprise,15,True
A-f97b9a,Company_159,Fintech,Pro,16,False
A-2f6a32,Company_160,Healthtech,Basic,19,False
