campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget_usd,impressions,clicks,conversions,ctr_pct,cpa
CAMP-001,2025_Q1_LinkedIn_Social,LinkedIn,Social,2025-03-08,,55894.16,1469141,134387,11909,9.15,4.69
CAMP-002,2023_Q1_YouTube_Content,YouTube,Content,2023-01-03,,39138.26,105649,7578,846,7.17,46.26
CAMP-003,2023_Q3_Conference_Event,Conference,Event,2023-08-19,2023-09-19,57513.53,384829,33401,2035,8.68,28.26
CAMP-004,2024_Q1_Facebook_Social,Facebook,Social,2024-02-03,2024-06-03,63943.34,1316105,51456,1073,3.91,59.59
CAMP-005,2024_Q1_Webinar_Event,Webinar,Event,2024-02-18,2024-06-19,44358.03,195867,2945,134,1.5,331.03
CAMP-006,2023_Q1_Referral_Referral,Referral,Referral,2023-02-13,2023-06-16,14292.42,795056,26273,1341,3.3,10.66
CAMP-007,2025_Q2_LinkedIn_Social,LinkedIn,Social,2025-06-08,,30010.52,1392176,119306,5326,8.57,5.63
CAMP-008,2023_Q1_Partner_Referral,Partner,Referral,2023-01-26,2023-05-04,7298.67,1239462,131879,7580,10.64,0.96
CAMP-009,2025_Q2_Webinar_Content,Webinar,Content,2025-04-05,2025-07-07,56511.7,1180317,45916,4312,3.89,13.11
CAMP-010,2024_Q2_YouTube_Content,YouTube,Content,2024-04-05,2024-05-28,57294.21,279950,7506,274,2.68,209.1
CAMP-011,2024_Q3_Email_Email,Email,Email,2024-07-20,2025-01-01,20727.52,1210198,126690,2096,10.47,9.89
CAMP-012,2025_Q1_LinkedIn_Content,LinkedIn,Content,2025-03-04,2025-05-13,35394.97,602366,70421,8300,11.69,4.26
CAMP-013,2025_Q1_Conference_Event,Conference,Event,2025-03-27,2025-06-15,13580.85,388792,26955,3237,6.93,4.2
CAMP-014,2025_Q1_Conference_Event,Conference,Event,2025-03-16,,69859.65,694903,25252,1199,3.63,58.26
CAMP-015,2023_Q4_YouTube_Social,YouTube,Social,2023-12-16,2024-05-30,58023.0,319256,26361,3764,8.26,15.42
CAMP-016,2025_Q2_Facebook_Social,Facebook,Social,2025-05-14,2025-10-29,57256.73,1496757,48085,2744,3.21,20.87
CAMP-017,2025_Q2_Partner_Event,Partner,Event,2025-04-04,,7141.88,94112,7031,323,7.47,22.11
CAMP-018,2023_Q4_OrganicSearch_Content,Organic Search,Content,2023-12-21,,7386.52,115877,12116,297,10.46,24.87
CAMP-019,2025_Q2_OrganicSearch_Content,Organic Search,Content,2025-04-07,2025-09-30,44275.34,559602,53894,6683,9.63,6.63
CAMP-020,2023_Q4_OrganicSearch_Content,Organic Search,Content,2023-11-14,2024-03-28,36359.29,163605,13754,2033,8.41,17.88
CAMP-021,2024_Q4_LinkedIn_Social,LinkedIn,Social,2024-12-11,2025-02-06,20527.58,448896,30969,1050,6.9,19.55
CAMP-022,2024_Q2_Facebook_Social,Facebook,Social,2024-04-28,2024-09-18,61081.61,1204115,25009,2576,2.08,23.71
CAMP-023,2023_Q2_Conference_Event,Conference,Event,2023-04-06,2023-09-06,17996.68,891042,97363,3624,10.93,4.97
CAMP-024,2024_Q3_GoogleAds_Content,Google Ads,Content,2024-08-10,2025-01-29,50485.67,1070623,28936,1593,2.7,31.69
CAMP-025,2025_Q1_GoogleAds_Search,Google Ads,Search,2025-03-02,,37067.17,1163852,31793,4600,2.73,8.06
CAMP-026,2023_Q4_LinkedIn_Social,LinkedIn,Social,2023-10-03,2024-01-01,31773.73,1244695,46157,4396,3.71,7.23
CAMP-027,2024_Q4_YouTube_Social,YouTube,Social,2024-11-19,2025-03-09,70266.2,478362,40024,2297,8.37,30.59
CAMP-028,2023_Q4_Referral_Referral,Referral,Referral,2023-11-21,2024-03-10,69853.83,202133,2228,220,1.1,317.52
CAMP-029,2023_Q3_YouTube_Social,YouTube,Social,2023-09-07,2023-11-09,70161.3,194265,20731,1345,10.67,52.16
CAMP-030,2025_Q2_Facebook_Social,Facebook,Social,2025-06-10,2025-11-22,3067.18,1213085,52079,5445,4.29,0.56
CAMP-031,2023_Q1_Facebook_Social,Facebook,Social,2023-02-24,2023-06-03,22927.33,491722,43732,1857,8.89,12.35
CAMP-032,2024_Q1_Referral_Referral,Referral,Referral,2024-01-03,2024-04-12,5696.29,749518,71071,7178,9.48,0.79
CAMP-033,2025_Q2_Referral_Referral,Referral,Referral,2025-04-18,2025-10-08,3201.05,207797,23679,2564,11.4,1.25
CAMP-034,2024_Q4_Facebook_Social,Facebook,Social,2024-10-18,,11739.8,696464,34900,4919,5.01,2.39
CAMP-035,2023_Q4_GoogleAds_Content,Google Ads,Content,2023-11-08,2024-03-07,59058.43,902235,105671,12276,11.71,4.81
CAMP-036,2023_Q3_OrganicSearch_Content,Organic Search,Content,2023-07-01,,69525.33,913425,89740,11814,9.82,5.88
CAMP-037,2023_Q4_OrganicSearch_Content,Organic Search,Content,2023-12-04,2024-01-12,64748.01,516477,16502,2293,3.2,28.24
CAMP-038,2023_Q2_Partner_Event,Partner,Event,2023-04-01,2023-08-11,26298.99,195585,22757,1198,11.64,21.95
CAMP-039,2025_Q2_Conference_Event,Conference,Event,2025-05-11,2025-07-09,66085.28,597807,17720,2568,2.96,25.73
CAMP-040,2023_Q4_Referral_Referral,Referral,Referral,2023-10-14,2024-02-01,34138.56,1122531,25505,3479,2.27,9.81
